브로셔명,페이지번호,페이지명,섹션,요소유형,내용,비고
일반 브로셔,2,페인포인트,Solution,카피,"특허출원 전용 AI 명세서 작성 솔루션, PatSol로 고민을 해소해보세요.",
일반 브로셔,3,솔루션+신뢰,섹션 제목,헤드라인,"반복 작업을 줄여서, '핵심 전략 수립'에만 온전히 집중하는 환경을 경험해보세요",
일반 브로셔,3,솔루션+신뢰,플라이휠,중심,출원,
일반 브로셔,3,솔루션+신뢰,플라이휠,1고리,선행기술조사 / 청구항 설계 / 명세서 작성,
일반 브로셔,3,솔루션+신뢰,플라이휠,2고리 (선행기술조사),"발명 내용 기반 유사특허 탐색, 권리공백 분석",
일반 브로셔,3,솔루션+신뢰,플라이휠,2고리 (청구항 설계),"조사 자료 기반 회피 전략 도출, 권리범위 최적화",
일반 브로셔,3,솔루션+신뢰,플라이휠,2고리 (명세서 작성),"스타일·출원 기준 반영, 기재요건 검토",
일반 브로셔,3,솔루션+신뢰,비주얼,이미지,명세서 작성화면 (청구항 / 명세서 본문 / 챗봇),화면 캡처 필요
일반 브로셔,3,솔루션+신뢰,비주얼,설명,AI 챗봇 에이전트 지원을 받아서 청구항을 설계하고 명세서 본문과 도면을 작성해보세요,
일반 브로셔,3,솔루션+신뢰,신뢰 수치,수치,누적고객 218명 / 명세서 작성 394건 / 명세서 작성 시간 97% 단축(20시간 -> 32분),
일반 브로셔,3,솔루션+신뢰,신뢰 수치,추천사,"""나만 알고 싶은 작성 솔루션"" - OO특허사무소 최OO 대표변리사
""AI는 결국 적응해야하고, 실무에 바로 적용할 수 있는 솔루션을 선택"" - OO특허법인 장OO 대표변리사",
일반 브로셔,3,솔루션+신뢰,신뢰 수치,인증·수상,"2025년 지식재산 데이터 경진대회 최우수상(특허청장상)
2025년 공공데이터 경진대회 우수상(행정안전부장관상)",내용 확인 필요
일반 브로셔,3,솔루션+신뢰,신뢰 수치,보안,"고객사의 검색 데이터와 명세서는 안전하게 저장되며, 외부 공개 및 AI 학습에 활용되지 않습니다.", 
일반 브로셔,4,뒷표지,섹션 제목,헤드라인,지금 바로 시작해보세요.,바우처 문구 제거
일반 브로셔,4,뒷표지,케이스 스터디,시나리오 제목,아이디어 기반 명세서 작성,
일반 브로셔,4,뒷표지,케이스 스터디,설명,정리된 문서가 없어도 됩니다. 아이디어 메모만으로 선행기술조사를 시작하세요.,
일반 브로셔,4,뒷표지,케이스 스터디,시나리오 제목,문서·청구 범위 기반 명세서 작성,
일반 브로셔,4,뒷표지,케이스 스터디,설명,청구항이나 직무 발명서를 업로드하면 선행기술조사 · 회피 설계를 거쳐 명세서 초안까지 약 15~50분 만에 완성합니다.,
일반 브로셔,4,뒷표지,케이스 스터디,시나리오 제목,도면·설명서 기반 명세서 작성,
일반 브로셔,4,뒷표지,케이스 스터디,설명,도면이나 불완전한 설명서만 있어도 발명 구조를 정리하고 명세서 초안까지 작성할 수 있습니다.,
일반 브로셔,4,뒷표지,도입 절차,Step 1,무료 데모 신청 — 30분 실제 업무 화면으로 직접 확인하세요.,
일반 브로셔,4,뒷표지,도입 절차,Step 2,도입 상담 — 우리 사무소에 맞는 플랜을 안내해드립니다.,
일반 브로셔,4,뒷표지,도입 절차,Step 3,계약 및 온보딩 — 도입 즉시 사용할 수 있도록 세팅을 지원합니다.,
일반 브로셔,4,뒷표지,CTA,버튼,무료 데모 신청하기,단일 CTA (바우처 버튼 제거)
일반 브로셔,4,뒷표지,연락처,전화,070-8028-3925,확인 필요
일반 브로셔,4,뒷표지,연락처,이메일,contact@patsol.kr,확인 필요
일반 브로셔,4,뒷표지,연락처,QR코드,https://patsol.kr,URL 확인 필요
기업 IP R&D,1,표지,커버,메인카피,"남들이 어디로 가는지 알면, 우리가 어디로 가야 할지 보입니다.",
기업 IP R&D,1,표지,커버,서브카피,"AI가 특허 데이터를 분석해, 기술 전략의 방향을 잡아드립니다.",
기업 IP R&D,1,표지,커버,타겟 태그,IP R&D · 연구자 · 경영진,
기업 IP R&D,1,표지,비주얼,이미지,특허기술흐름도 시각화 이미지,첨부 이미지 활용 가능
기업 IP R&D,2,검색 기능,섹션 제목,헤드라인,전문 지식 없이도 원하는 특허를 찾을 수 있습니다,
기업 IP R&D,2,검색 기능,기능 1,헤드라인,자연어·자료 기반 검색,
기업 IP R&D,2,검색 기능,기능 1,설명,"문장, 논문, 발명 자료를 그대로 입력하면 유사 특허를 자동 탐색",
기업 IP R&D,2,검색 기능,기능 2,헤드라인,AI 검색 결과 분류,
기업 IP R&D,2,검색 기능,기능 2,설명,수백 건의 결과를 기술 카테고리별로 자동 분류,
기업 IP R&D,2,검색 기능,기능 3,헤드라인,문헌 Q&A 챗봇,
기업 IP R&D,2,검색 기능,기능 3,설명,"특허 문서에 직접 질문, 핵심 내용을 즉시 파악",
기업 IP R&D,2,검색 기능,비주얼,이미지,검색 UI 스크린샷,화면 캡처 필요
기업 IP R&D,3,분석·시각화,섹션 제목,헤드라인,검색한 특허가 바로 전략 보고서가 됩니다,
기업 IP R&D,3,분석·시각화,시각화 1,헤드라인,특허기술흐름도,
기업 IP R&D,3,분석·시각화,시각화 1,설명,연도별 기술 진화 흐름 한눈에,
기업 IP R&D,3,분석·시각화,시각화 2,헤드라인,특허 동향 분석,
기업 IP R&D,3,분석·시각화,시각화 2,설명,기술·국가별 출원 트렌드,
기업 IP R&D,3,분석·시각화,시각화 3,헤드라인,중요 특허 요약,
기업 IP R&D,3,분석·시각화,시각화 3,설명,핵심 청구항·도면 자동 요약,
기업 IP R&D,3,분석·시각화,시각화 4,헤드라인,활용 특허 요약,
기업 IP R&D,3,분석·시각화,시각화 4,설명,라이선싱·회피 설계 참고용,
기업 IP R&D,3,분석·시각화,시각화 5,헤드라인,OS 매트릭스,
기업 IP R&D,3,분석·시각화,시각화 5,설명,기술 공백 시각화,
기업 IP R&D,3,분석·시각화,다운로드,안내 문구,분석 결과는 Word·PDF로 즉시 다운로드 가능합니다,
기업 IP R&D,3,분석·시각화,비주얼,이미지 1,특허기술흐름도 스크린샷,
기업 IP R&D,3,분석·시각화,비주얼,이미지 2,OS 매트릭스 스크린샷,
기업 IP R&D,4,뒷표지,섹션 제목,헤드라인,우리 팀에 맞게 활용하세요,
기업 IP R&D,4,뒷표지,타겟 1,대상,IP R&D,
기업 IP R&D,4,뒷표지,타겟 1,활용,"경쟁사 기술 동향 파악, 기술 공백 발굴 및 전략 수립",
기업 IP R&D,4,뒷표지,타겟 2,대상,연구자,
기업 IP R&D,4,뒷표지,타겟 2,활용,"선행기술 탐색, 발명 아이디어 참고 자료 수집",
기업 IP R&D,4,뒷표지,타겟 3,대상,경영진,
기업 IP R&D,4,뒷표지,타겟 3,활용,"R&D 투자 방향 설정, 사업화 가능성 검토",
기업 IP R&D,4,뒷표지,CTA,버튼,무료 체험 시작하기,
기업 IP R&D,4,뒷표지,연락처,전화,070-8028-3925,확인 필요
기업 IP R&D,4,뒷표지,연락처,이메일,contact@patsol.kr,확인 필요
기업 IP R&D,4,뒷표지,연락처,QR코드,https://patsol.kr,URL 확인 필요
