No.,Depth1(페이지),Depth2(섹션),Depth3(기능/컴포넌트),Depth4(세부항목),기능설명/정책,구현 여부,우선순위(1/2/3),비고
2-4-2-12,검색 세션,작업섹션 - AI채팅,AI 응답,패널 상태 표시,AI 챗봇이 보고 있는 자료를 사용자에게 알림하는 목적,N,,
2-4-2-13,검색 세션,작업섹션 - AI채팅,AI 응답,<비기능> 컨텍스트 토큰 최적화,"결과 50건 전체를 컨텍스트에 포함하면 토큰 과다.
전략 후보: 상위 N건 메타데이터만 포함 / 임베딩 기반 관련 문서 선택적 주입",N,,
2-4-2-14,검색 세션,작업섹션 - AI채팅,AI 응답,재검색 진행,"<제안 시점>
사용자의 후속 질문이 현재 검색 결과 및 검색 의도와 완전히 다른 주제라고 판단될 경우

<제안 방식>
재검색을 실시할 수 있는 버튼 제공
재검색 시 '검색결과', '통계', '검색 결과 필터' 항목 재로딩

<예시>
 - 예: 자율주행 전기차의 배터리 특허를 검색한 상태에서 ""배터리 말고 디스플레이 특허 찾아줘"" 입력 → 새 검색 실행.",N,3,
2-4-2-15,검색 세션,작업섹션 - AI채팅,AI 응답,재검색 진행,,,,
2-4-2-16,검색 세션,작업섹션 - AI채팅,AI 응답,"검색식으로 진입했을 경우, 어떻게 끌고 갈 것인가?",,,,
2-4-3-1,검색 세션,작업섹션 - AI채팅,프롬프트 입력창,멀티라인 입력,"- 자동 높이 확장(최대 높이 도달 시 스크롤로 확장)
- enter키로 줄바꿈 지원
- ctrl + enter 키로 메시지 보내기 시작 가능",N,,
2-4-3-2,검색 세션,작업섹션 - AI채팅,프롬프트 입력창,"""보내기"" 버튼","- AI챗봇에 메시지를 보냄
- 대화 스레드에 최근 메시지로 조회됨",N,,
2-4-4,검색 세션,작업섹션 - 매직노트,내용추가필요,,,,,
,,정보섹션 - 공통,탭,탭 이동,,,,
,,,,,,,,
,검색세션,정보섹션 - 검색결과,검색결과 탭,포커싱 상태 표시,검색 결과 섹션을 조회 중일 때 포커싱 표시,N,,
,,,검색결과 탭,검색 결과 조회 건수 표시,"- 검색 결과 및 현재 필터링 상태를 반영해서 총 건수 표시
- ""검색 결과"" 이외의 탭을 조회중일 때, 건수 변동이 발생하면 반영됨",Y,,
,,,검색결과 탭,조회/필터링 중 스피너 표시,"- 심층 검색/재검색/필터링 중일 때 로드 중임을 스피터 아이콘으로 표시
- ""검색 결과"" 이외의 탭을 조회중일 때, 검색결과 로드가 발생하면 반영됨",Y,,
,,,필터링 컨트롤,적용 필터 조회,필터링 적용시 항목을 칩으로 조회,N,,
,,,필터링 컨트롤,적용 필터 해제,필터칩을 삭제하여 필터링 해제,N,,
,,,검색결과 정렬/조회,정렬,- 종류: 유사도순(),N,3,
,,,검색결과 정렬/조회,특허건 조회 옵션 설정,"- 특허건의 조회 방식 설정
- 종류: 도면+텍스트(디폴트), 텍스트만, 도면만
- 최근 조회 방식 설정 옵션을 기억",N,,
,,,검색결과 정렬/조회,페이지 당 최대 조회 건수 설정,페이지네이션 단위 건수 설정,Y,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,검색결과 섹션,,,,,,
,,,,,,,,
2-1-2,,,조건 검색,,,,,
,,,,,,,,
2-2,,세션 조회,,,,,,
2-2-1,,검색 결과 조회,,,,,,
2-2-2,,통계 조회,,,,,,
2-2-3,,관심 특허 조회,,,,,,
2-2-4,,내 발명 조회,,,,,,
2-2-5,,챗봇,,,,,,
2-2-6,,메모,,,,,,
C,[회원] 명세서 작성,,,,,,,
,,,명세서 초안 생성,,,,,
,,,,,,,,
,,,,,,,,
,,검색 이력 관리,,,,,,
,,,,,,,,
,,검색 결과 패널,,,,,,
,,,,,,,,
,,,,자연어 검색 입력 가이드,"- 발명 내용을 자유롭게 서술하거나 발명신고서·청구항 문장을 그대로 붙여넣기 할 수 있도록 안내.
- placeholder 예시로 청구항 형식 문장 제공",,,
,,,,특허 문서 검색 충분도 파악,"Vector DB 검색 결과, Top 50 이내에 원하는 문서를 다 담을 수 있을 정도로 요청이 자세한지 판단함
- 충분한 입력 예시: ""리튬이온 배터리 급속충전 시 발열을 억제하기 위한 열관리 알고리즘 및 BMS 제어 방법""
- 불충분한 입력 예시: ""배터리"", ""좋은 기술 찾아줘"" ""KR1020180060065""",,,
,,,,직접 검색 실행,충분한 입력을 받았을 때 VectorDB로 특허 문서를 검색 후(Top50) 검색 결과 섹션으로 이동함,,,
,,,,심층 검색 실행,"충분치 않은 입력 시, VectorDB에서 입력 기반 클러스터링으로 상위 토픽 생성함",,,
,,,,상위 토픽 Q&A 폼 생성,상위 토픽을 선택하거나 사용자가 직접 입력해서 제출할 수 있음,,,
,,,,Q&A 폼 입력 기반으로 검색 실행,"사용자의 의도가 충분히 구체화 되었다면, VectorDB로 특허 문서를 검색 후(Top50) 검색 결과 섹션으로 이동함",,,
,,,,필터 / 검색식 보강 (2단계),토픽 선택 후에도 예상 건수가 50건 초과 시 출원일·출원인·IPC 코드 필터 또는 직접 검색식 입력으로 추가 좁히기,,,
,,,,새 주제 시작하기,,,,
,,,,이어서 질문하기,,,,
,,,,검색 결과 조회,,,,
,,,,토픽 기반 필터링,,,,
,,,,검색식 기반 필터링,,,,
,,,,검색 건수 조회,,,,
,,,,분석 대상 문서 상세 조회,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,-,-,백그라운드 모달,,,,,
