브로셔명,페이지번호,페이지명,섹션,요소유형,내용,비고
기업 IP R&D,3,분석·시각화,시각화 1,헤드라인,특허기술흐름도,
기업 IP R&D,3,분석·시각화,시각화 1,설명,연도별 기술 진화 흐름 한눈에,
기업 IP R&D,3,분석·시각화,시각화 2,헤드라인,특허 동향 분석,
기업 IP R&D,3,분석·시각화,시각화 2,설명,기술·국가별 출원 트렌드,
기업 IP R&D,3,분석·시각화,시각화 3,헤드라인,중요 특허 요약,
기업 IP R&D,3,분석·시각화,시각화 3,설명,핵심 청구항·도면 자동 요약,
기업 IP R&D,3,분석·시각화,시각화 4,헤드라인,활용 특허 요약,
기업 IP R&D,3,분석·시각화,시각화 4,설명,라이선싱·회피 설계 참고용,
기업 IP R&D,3,분석·시각화,시각화 5,헤드라인,OS 매트릭스,
기업 IP R&D,3,분석·시각화,시각화 5,설명,기술 공백 시각화,
기업 IP R&D,3,분석·시각화,다운로드,안내 문구,분석 결과는 Word·PDF로 즉시 다운로드 가능합니다,
기업 IP R&D,3,분석·시각화,비주얼,이미지 1,특허기술흐름도 스크린샷,
기업 IP R&D,3,분석·시각화,비주얼,이미지 2,OS 매트릭스 스크린샷,
기업 IP R&D,4,뒷표지,섹션 제목,헤드라인,우리 팀에 맞게 활용하세요,
기업 IP R&D,4,뒷표지,타겟 1,대상,IP R&D,
기업 IP R&D,4,뒷표지,타겟 1,활용,"경쟁사 기술 동향 파악, 기술 공백 발굴 및 전략 수립",
기업 IP R&D,4,뒷표지,타겟 2,대상,연구자,
기업 IP R&D,4,뒷표지,타겟 2,활용,"선행기술 탐색, 발명 아이디어 참고 자료 수집",
기업 IP R&D,4,뒷표지,타겟 3,대상,경영진,
기업 IP R&D,4,뒷표지,타겟 3,활용,"R&D 투자 방향 설정, 사업화 가능성 검토",
기업 IP R&D,4,뒷표지,CTA,버튼,무료 체험 시작하기,
기업 IP R&D,4,뒷표지,연락처,담당자,[담당자 이름],확인 필요
기업 IP R&D,4,뒷표지,연락처,전화,[전화번호],확인 필요
기업 IP R&D,4,뒷표지,연락처,이메일,[이메일 주소],확인 필요
기업 IP R&D,4,뒷표지,연락처,QR코드,상담 신청 페이지 URL,URL 확인 필요
