출원번호,출원일,사무소,대리인,MainCPC,발명명칭
1020240083408,20240626,김앤장,김기호,,기능성이 개선된 접이식 안마 베드
1020240083407,20240626,김앤장,김기호,,베드 변환형 안마의자
1020240081773,20240624,김앤장,김기호,,폐 침목을 이용한 사면 보강공법
1020240080706,20240621,김앤장,이승현,,요실금 팬티 및 이의 제조방법¶요실금 팬티 및 이의 제조방법{Urinary incontinence panties and how to manufacture them}
1020240078877,20240618,김앤장,김현진,,분할 구동형 자외선램프 세척장치
1020240078876,20240618,김앤장,김현진,,이중 세척 구조를 가진 자외선램프 세척장치
1020240078875,20240618,김앤장,김현진,,자외선램프 세척장치
1020240077559,20240614,김앤장,김현진,,진동분산과 비틀림 방지 기능을 가지는 전기설비 내진장치
1020240076835,20240613,김앤장,이승현,,지중구조물 금속 보호덮개 및 이의 관리방법
1020240073662,20240605,김앤장,김현진,,IoT기술을 활용한 노래방 관리 시스템
1020240073661,20240605,김앤장,김현진,,음향신호기를 이용한 시각장애인 안내시스템
1020240072897,20240604,김앤장,이재훈,,사골 농축액 제조방법 및 이에 의해 제조된 사골 농축액
1020240071971,20240531,김앤장,이호준,,"조달 업무를 지원하기 위한 컴퓨터 프로그램, 방법 및 컴퓨터 장치"
1020240071488,20240531,김앤장,이재훈,,철도 시설물 데이터 수집 방법
1020240071470,20240531,김앤장,이재훈,,웹 브라우저와 벡터 그래픽 파일 포맷을 이용한 웹 기반의 철도 시설물 감시 시스템 및 방법
1020240071443,20240531,김앤장,이재훈,,철도 시설물 관리를 위한 데이터 관리 방법
1020240071273,20240531,김앤장,이재훈,,딥러닝 학습을 이용한 센서 정밀도 관리 장치 및 이를 이용한 관리 방법
1020240069896,20240529,김앤장,이석재,,소용량 리크와 대용량 리크를 모두 검출할 수 있는 진공 리크 검출 판정 방법
1020240069879,20240529,김앤장,이석재,,경사형 자동 중량 계측 선별 장치
1020240069870,20240529,김앤장,이석재,,조립성이 우수한 포장제품의 다열 자동 중량 계측 장치
1020240069128,20240528,김앤장,김기호,,잡초 생장 방지형 콘크리트 블럭 시공방법
1020240068998,20240528,김앤장,이재훈,,선로전환기 전환력 계산 시스템 및 이를 이용한 계산 방법
1020240065075,20240520,김앤장,김현진,,교통신호제어기를 활용한 자율주행시스템
1020240063969,20240516,김앤장,이승현,,수밀성이 우수한 창호
1020240058500,20240502,김앤장,이재훈,,스냅 슬라이드 방식 외장시스템
1020240058498,20240502,김앤장,이재훈,,스냅 슬라이드형 BIPV 시스템
1020240057214,20240429,김앤장,김지우,,매장 내의 동일 객체를 추적하는 객체 추적 방법 및 장치
1020240056297,20240426,김앤장,김지우,,매장 내의 동일인을 식별하는 고객 식별 방법 및 장치
1020240056173,20240426,김앤장,이승현,,유압커플러를 구비한 작업반경이 확장된 스윙 로더 작업기
1020240056168,20240426,김앤장,이승현,,작업반경이 확장된 스윙 로더 작업기
1020240054555,20240424,김앤장,김기호,,열전도 기능이 개선된 안마용 온열볼
1020240054184,20240423,김앤장,김성남,,기판 이송 로봇 검사 장치 및 그 방법
1020240053970,20240423,김앤장,이승현,,슬러지 건조장치
1020240053298,20240422,김앤장,김기호,,상체 기립형 안마 베드
1020240051254,20240417,김앤장,김기호,,정착부 확장성이 향상된 지반 보강용 파일 및 그 시공방법
2020240000678,20240416,김앤장,이소정,,치아발육기
1020240049971,20240415,김앤장,김현진,,배터리장치 주수시스템
1020240048756,20240411,김앤장,김기호,,"차수성이 개선된 그라우트 주입재 제조방법, 이에 의해 제조된 그라우트 주입재 및 이를 이용한 그라우팅 시공방법"
1020240048644,20240411,김앤장,김기호,,안마기구용 2중 안전센서 시스템
1020240047657,20240408,김앤장,이호준,,고속 열원을 포함하는 원자층 식각 장치
1020240045152,20240403,김앤장,김기호,,플랙시블 라인형 LED 바닥 신호등 제조방법 및 그 시공방법
1020240045151,20240403,김앤장,김기호,,접이식 안마 베드
1020240045147,20240403,김앤장,김기호,,정착부 확장형 지반 보강용 파일 및 그 시공방법
1020240044588,20240402,김앤장,김현진,,원격 관리가 가능한 승강장 유실물 방지 겸용 안전발판 및 이를 위한 원격 관리시스템
1020240040236,20240325,김앤장,이승현,,유지보수 편리성과 반사 및 흡음기능을 갖는 방음벽
1020240038217,20240320,김앤장,김기호,,우회전 차량에 대한 횡단보도 상의 보행자 안전을 위한 신호 제어방법 및 시스템
1020240037841,20240319,김앤장,홍은정,,광고 플랫폼 자판기와 그 자판기를 이용한 광고 처리 및 자동 판매 처리 방법
1020240037085,20240318,김앤장,이승희,,로봇암을 포함하는 겐추리 이송장치
1020240033264,20240308,김앤장,이승현,,댐퍼의 구조
1020240021399,20240215,김앤장,이호준,,고속 열원을 포함하는 원자층 식각 장치
1020240021398,20240215,김앤장,이호준,,원자층 식각을 위한 기판 처리 장치
1020240021397,20240215,김앤장,이호준,,기판 처리 장치에 기반한 원자층 식각 방법
1020240021396,20240215,김앤장,이호준,,원자층 식각을 위한 기판 처리 장치
1020240020999,20240214,김앤장,이재훈,,냉각 육각수를 이용한 하수관로 악취 차단장치
1020240018970,20240207,김앤장,김성남,,웨이퍼 처리 시스템 및 이를 이용한 웨이퍼 이상 검출 방법
1020240015960,20240201,김앤장,이승현,,작업차량용 캐빈 공조 구조
1020240012876,20240129,김앤장,이재훈,,자동 데이터 백업 이중화 장치와 최적제어 알고리즘을 적용한 완벽한 보안 확보가 가능한 원격운전 및 경보 통제를 지원하는 감시제어 시스템
1020240005280,20240112,김앤장,김현진,,탈부착 가능한 기능성 건물일체형 태양광 발전시스템 및 이의 설치방법
1020240004000,20240110,김앤장,김기호,,현장 시공성이 개선된 케이블 장력 계측 및 부식 검측장치
1020240003572,20240109,김앤장,김성환,,강제팽창식 부력튜브를 갖는 고속단정
1020240003413,20240109,김앤장,김기호,,지형적 한계를 극복한 외줄 하강시설 및 그 시공방법
1020240002627,20240108,김앤장,이재훈,,스냅 슬라이드형 BIPV 시스템
1020240002613,20240108,김앤장,이재훈,,인증 번호를 이용한 출석 관리 방법 및 이를 이용한 시스템
1020240002609,20240108,김앤장,이재훈,,비콘 신호를 이용한 출석 관리 방법 및 시스템
1020230197930,20231229,김앤장,김지우,,결합 친화도를 예측하는 타겟 단백질 구조 기반 후보 물질 발굴 시스템 및 그 동작 방법
1020230197918,20231229,김앤장,김지우,,감시 카메라가 설치된 위치에서 강수 여부와 강수로 인한 위험 여부를 판단하는 시스템 및 그 동작 방법
1020230197256,20231229,김앤장,이승현,,전기차량 충전장치
1020230194189,20231228,김앤장,김기호,,태양광 추적식 영농형 태양광 시스템
1020230192630,20231227,김앤장,김현진,,유리병 화학강화장치
1020230192629,20231227,김앤장,김현진,,유리병 화학강화장치
1020230186847,20231220,김앤장,김기호,,공중 놀이 시설용 무인 구난장비
1020230184594,20231218,김앤장,김지우,,신약 후보 물질 발굴을 위한 다중 인스턴스 GPU 기반 시스템
1020230176207,20231207,김앤장,이승희,,원통형상 가공물의 가공용 지그
1020230171949,20231201,김앤장,이재훈,,한국형 무선통신기반 열차제어시스템의 혼합열차 운용을 위한 전자연동장치 및 그 방법
1020230166486,20231127,김앤장,이재훈,,스마트 창호 및 이의 청소 방법
1020230160698,20231120,김앤장,이재훈,,함체와 통합된 액침 냉각 방식 배터리 시스템
1020230160068,20231120,김앤장,이승현,,세탁물 출고장치
1020230160052,20231120,김앤장,이승현,,발열체의 설치가 간편한 거터 및 이를 포함하는 온실
1020230149903,20231102,김앤장,김기호,,기능성 유턴식 2라인 동시주입 강관 및 이를 이용한 시공방법
1020230146737,20231030,김앤장,이재훈,,철도부지내 수소인프라 구축 안전관리시스템 및 이를 이용한 방법
1020230146710,20231030,김앤장,이재훈,,철도부지내 수소인프라 구축 의사결정 지원 시스템 및 이를 이용한 지원 방법
1020230146636,20231030,김앤장,이재훈,,분산 처리와 블록체인을 결합하여 데이터의 무결성을 유지하는 수처리 계측제어 시스템 및 방법
1020230139548,20231018,김앤장,이승희,,접착제 제거용 조성물
1020230137731,20231016,김앤장,김현진,,Cloud EMS 플랫폼 지원을 위한 경제성 기반 전력관리장치
1020230132438,20231005,김앤장,이석재,,모바일 디바이스 부품의 파티클 제거 및 검출 장치
1020230132354,20231005,김앤장,이재훈,,모니터링이 가능한 전기차 충전소 화재 예방 분전반 및 그 작동 방법
1020230130589,20230927,김앤장,이재훈,,폭포수 방식을 적용한 습식 공기정화장치
1020230127734,20230925,김앤장,이재훈,,내외기 온도차를 이용한 하수관로 악취 차단장치
1020230123645,20230918,김앤장,김현진,,시각장애인용 이동 보조 장치
1020230121176,20230912,leeandmok,리앤목특허법인,,레이다 클러터 신호에 의한 오경보 판단 방법 및 시스템
1020230120998,20230912,김앤장,이재훈,,네트워크 케이블 품질 모니터링이 가능한 AI 통합배선반 및 이를 이용한 방법
1020230117438,20230905,김앤장,김기호,,열전도 효율이 개선된 안마구
1020230115315,20230831,김앤장,이승희,,보강부재의 용접방법 및 이의 용접방법 따른 용접비드
1020230113459,20230829,김앤장,김현진,,NNPB 방식의 유리병 성형시스템
1020230113458,20230829,김앤장,김현진,,NNPB 방식의 유리병 성형장치
1020230113457,20230829,김앤장,김현진,,NNPB 방식의 패리슨 성형장치
1020230113456,20230829,김앤장,김현진,,유리병 성형을 위한 곱 공급 장치 및 방법
1020230113453,20230829,김앤장,이승현,,유류탱크용 맨홀
1020230107465,20230817,김앤장,이승현,,튀김기
1020230106675,20230816,김앤장,김현진,,유리병 생산 연속공정에서 사용가능한 화학강화장치 및 이를 이용한 유리병의 제조방법
1020230093834,20230719,김앤장,김기호,,열전도 효율이 개선된 온열 안마볼 및 그 제작방법
1020230093340,20230718,leeandmok,리앤목특허법인,,병진 및 회전 운동이 가능한 석션 그리퍼
1020230093086,20230718,김앤장,김기호,,비상구 설치형 에어돔
1020230092378,20230717,김앤장,이석재,,복합 창호 프레임 및 그 체결 방법
1020230092093,20230715,김앤장,김지우,,의료 폐기물 파쇄 시스템의 설계 장치 및 방법
1020230091807,20230714,김앤장,이승현,,배수효율이 향상된 수평배수재
1020230091429,20230714,김앤장,이승현,,축사 악취 모니터링 시스템
1020230091071,20230713,김앤장,김기호,,산성배수 발생 또는 척박 토양에 대한 비탈면 녹화공법
2020230001442,20230712,김앤장,이승희,,변압기용 외함
1020230089217,20230710,김앤장,이승현,,시공성 및 내하력이 향상된 복공판의 제조 및 시공방법
1020230088111,20230707,김앤장,이석재,,스마트 인공지능 센서 도어 개폐 시스템
1020230087591,20230706,김앤장,이재훈,,절연체가 일체로 성형된 기억쇠를 갖는 첨단간
1020230081196,20230623,김앤장,김기호,,안전성이 강화된 네트 놀이시설 및 시공방법
1020230080832,20230623,김앤장,김기호,,높이 조절형 알루미늄 부잔교
1020230080554,20230622,김앤장,이승현,,험지주행이 용이한 다관절구조의 4륜 구동 승용형 예초기
1020230080250,20230622,김앤장,김현진,,철도차량 신속 오물수거시스템
1020230079471,20230621,김앤장,김현진,,철도차량을 위한 자동화 오물스테이션 장치
1020230078924,20230620,leeandmok,리앤목특허법인,,"플라스틱 기반 물품의 제조방법, 플라스틱 기반 물품 제조용 사출금형, 플라스틱 기반 물품 제조용 사출금형 세트 및 플라스틱 기반 물품"
1020230078754,20230620,김앤장,김현진,,철도차량을 위한 하이브리드 타입 오물배출장치
1020230078014,20230619,김앤장,김현진,,철도차량의 오물 수거를 위한 배관설비 및 이를 포함하는 오물수거시스템
1020230077512,20230616,leeandmok,리앤목특허법인,,평행 운동이 가능한 적응형 그리퍼
1020230076327,20230614,leeandmok,리앤목특허법인,,산화물계 고체전해질 및 그 제조방법
1020230076326,20230614,leeandmok,리앤목특허법인,,"열전지용 전해질, 이를 포함하는 열전지 및 열전지의 제조방법"
1020230073737,20230608,leeandmok,리앤목특허법인,,"일차전지, 일차전지용 양극 및 그 제조방법"
1020230073728,20230608,leeandmok,리앤목특허법인,,차량 센서 클리닝 장치 및 그 장치의 제어방법
1020230069881,20230531,jang,장수길,,SiC 단결정 기판
1020230069222,20230530,jang,장수길,,SiC 기판 및 SiC 잉곳
1020230068128,20230526,jang,장수길,,SiC 기판 및 SiC 에피택셜 웨이퍼
1020230068125,20230526,jang,장수길,,SiC 기판 및 SiC 에피택셜 웨이퍼
1020230068081,20230526,jang,장수길,,SiC 기판 및 SiC 에피택셜 웨이퍼
1020230067410,20230525,jang,장수길,,SiC 기판 및 SiC 잉곳
1020230065230,20230519,leeandmok,리앤목특허법인,,"복합 고체 전해질, 이를 포함하는 열전지 및 이의 제조방법"
1020230064780,20230519,leeandmok,리앤목특허법인,,광전도 반도체 스위치 및 이의 제조 방법
1020230062521,20230515,leeandmok,리앤목특허법인,,센서 클리닝용 와이퍼 시스템
1020230062520,20230515,leeandmok,리앤목특허법인,,센서측정방법 및 그 장치
1020230061739,20230512,leeandmok,리앤목특허법인,,열전지 및 이의 제조방법
1020230059881,20230509,leeandmok,리앤목특허법인,,이송 로봇의 배터리 교체를 위한 충전 스테이션
1020230058702,20230504,김앤장,김현진,,스마트 여행일정 추천시스템
1020230058327,20230504,jang,장수길,,"기판 홀더, 도금 장치 및 도금 방법"
1020230057578,20230503,김앤장,김현진,,"진동 분산이 가능한 내진장치, 이를 포함하는 계장제어반 및 계장제어반 운영시스템"
1020230055760,20230427,김앤장,홍은정,,야전침대용 그라운드 시트
1020230055000,20230426,leeandmok,리앤목특허법인,,무진동 할암 연속천공에 의한 자유면 형성을 위한 천공장치
1020230054643,20230426,김앤장,김현진,,가정용 올인원 AP시스템
1020230053268,20230424,김앤장,김기호,,유지보수 및 보강이 용이한 다기능 알루미늄 데크 및 그 시공방법
1020230049798,20230417,김앤장,김현진,,추세비교분석을 통한 고장 예측 및 진단이 가능한 계장제어반 운영시스템 및 이에 포함되는 계장제어반
1020230048090,20230412,jang,장수길,,도금 장치
1020230045003,20230405,김앤장,김현진,,나사 및 볼트류 재생 시스템
1020230044350,20230404,leeandmok,리앤목특허법인,,위상 제어 방법 및 시스템
1020230041883,20230330,leeandmok,리앤목특허법인,,회전축의 이탈 방지구조가 개선된 중공축 모터
1020230039274,20230324,leeandmok,리앤목특허법인,,열전지 전극 및 이의 제조방법
1020230038195,20230323,leeandmok,리앤목특허법인,,인간 피부 유래 산물을 포함하는 미생물 배양 배지 및 이를 이용하여 배양된 혼합 미생물 배양액의 피부 개선 용도
1020230035423,20230317,leeandmok,리앤목특허법인,,하사점에서 완충 기능을 가진 가스 실린더
1020230033467,20230314,leeandmok,리앤목특허법인,,"암모니아 탈수소용 촉매, 이의 제조방법 및 이를 이용한 수소 제조방법"
1020230031087,20230309,leeandmok,리앤목특허법인,,시계열 영상을 이용한 표적 탐지 방법 및 시스템
1020230030524,20230308,leeandmok,리앤목특허법인,,배수구용 보조 덮개 및 주 덮개
1020230028752,20230303,leeandmok,리앤목특허법인,,상온 탈지제 및 이를 포함하는 상온 탈지액
1020230028485,20230303,leeandmok,리앤목특허법인,,유량 제어 장치
1020230027934,20230302,leeandmok,리앤목특허법인,,열분해유의 정제방법 및 그 방법에 의해 생성된 정제 열분해유
1020230027930,20230302,leeandmok,리앤목특허법인,,빔 조향 전파고도계 및 컨벡스 최적화를 이용한 빔 조향 방법
1020230026183,20230227,leeandmok,리앤목특허법인,,항공 장애등
1020230024584,20230223,leeandmok,리앤목특허법인,,차량 센서 클리닝 장치 및 그 장치의 제어방법
1020230024583,20230223,leeandmok,리앤목특허법인,,차량 센서 클리닝 장치 및 그 장치의 제어방법
1020230024582,20230223,leeandmok,리앤목특허법인,,차량 센서 클리닝 장치 및 그 장치의 제어방법
1020230023149,20230221,leeandmok,리앤목특허법인,,표적 탐지 방법 및 시스템
1020230021875,20230220,김앤장,이승희,,분수대
1020230021657,20230217,leeandmok,리앤목특허법인,,"플라스틱 기반 물품, 전자부품용 하우징, 전자기기 및 플라스틱 기반 물품의 제조방법"
1020230019349,20230214,leeandmok,리앤목특허법인,,가축생체정보 스캐닝 시스템 및 그 제어방법
1020230018014,20230210,leeandmok,리앤목특허법인,,발코니팜
1020230018013,20230210,leeandmok,리앤목특허법인,,발코니팜
1020230017263,20230209,leeandmok,리앤목특허법인,,"클러스터링에 기초하여, 신경망 필터를 프루닝하는 방법 및 장치"
1020230016899,20230208,leeandmok,리앤목특허법인,,특정 인물에 특화된 딥러닝 기반 감정 인식 방법 및 장치
1020230015464,20230206,leeandmok,리앤목특허법인,,배터리 내부 온도 추정을 위한 배터리 관리 장치 및 방법
1020230015024,20230203,leeandmok,리앤목특허법인,,이중 편파 레이다를 이용한 표적 탐지 방법 및 시스템
1020230015023,20230203,leeandmok,리앤목특허법인,,이중 편파 레이다를 이용한 인공물 탐지 방법 및 시스템
1020230015022,20230203,leeandmok,리앤목특허법인,,주파수 가변 및 추정된 분면의 신호 비교를 이용한 3채널 모노펄스 배열 안테나의 부엽 식별 방법 및 장치
1020230013912,20230201,leeandmok,리앤목특허법인,,로컬 디밍을 위한 LED 구동 장치 및 디스플레이 장치
1020230013010,20230131,leeandmok,리앤목특허법인,,수전해 발생열을 이용한 온도차 발전 시스템
1020230013009,20230131,leeandmok,리앤목특허법인,,태양광 수집열을 이용한 온도차 발전 시스템
1020230011577,20230130,김앤장,김현진,,항균 펩타이드를 함유하는 가시복분자딸기 유산균 발효물과 복령을 포함하는 화장료 조성물
1020230006930,20230117,leeandmok,리앤목특허법인,,"프레임간 유사도에 기초하여, 신경망 학습을 위한 프레임 데이터를 생성하는 방법 및 장치"
1020230004923,20230112,leeandmok,리앤목특허법인,,재밍효과도 분석 방법 및 시스템
1020230003945,20230111,leeandmok,리앤목특허법인,,방전봉 및 그의 제조방법
1020230003898,20230111,김앤장,김현진,,신규한 라넬라 아세리스 Ｆｓｏｉｌ5 균주 및 이를 이용하는 친환경 작물 생장 촉진제
1020230002505,20230106,leeandmok,리앤목특허법인,,포커스 촬영을 위한 원형 프레임을 제공하는 스마트폰용 카메라 렌즈 커버
1020230001944,20230105,leeandmok,리앤목특허법인,,적외선 영상에 관한 블러 커널 생성 방법 및 장치
1020230001918,20230105,leeandmok,리앤목특허법인,,합성개구면레이다를 모의하는 시스템 및 방법
1020230000765,20230103,leeandmok,리앤목특허법인,,3D 모델링 배포 방법 및 컴퓨터 프로그램
1020230000372,20230102,leeandmok,리앤목특허법인,,보트 장치
1020220187948,20221228,leeandmok,리앤목특허법인,,배터리모듈의 진단방법 및 그 장치
1020220184986,20221226,leeandmok,리앤목특허법인,,서로 다른 운전 특성의 수전해 설비들을 갖는 수소생산시스템 및 이의 동작 방법
1020220179791,20221220,leeandmok,리앤목특허법인,,"분무 살포가 가능한 식물의 에틸렌 작용 억제제로서 1-(2,2-디메틸프로필)-사이클로프로펜의 제법 및 이의 용도"
1020220170056,20221207,leeandmok,리앤목특허법인,,"선조립 철골 구조물의 미세위치 조정장치, 이를 포함하는 물품 및 선조립 철골 구조물의 미세위치 조정방법"
1020220170036,20221207,leeandmok,리앤목특허법인,,SAR 영상의 표적들 간의 유사도 산출 방법 및 이를 이용한 표적 식별 방법
