application_number,detected,S1,S1_text,S1_b,S1_b_text,S1_c,S1_c_text,S2,S2_text,S3,S3_text,S4,S4_text,S5,S5_text,S6,S6_text,S7,S7_text,S_omit,S_omit_text,T1,T1_text,T2,T2_text,T3,T3_text,T4,T4_text,T_ordinal,T_ordinal_text,T5,T5_text,T6,T6_text,T7,T7_text,T8,T8_text,T9,T9_text,T10,T10_text,T_include,T_include_text,T_module,T_module_text,T_term_sel,T_term_sel_text,T_inventor,T_inventor_text,B4,B4_text,E1,E1_text,E2,E2_text,E3,E3_text,E4,E4_text,E5,E5_text,E6,E6_text,E7,E7_text,E8,E8_text,E_equiv,E_equiv_text,E9,E9_text,E10,E10_text,boilerplate_count,matched_codes
1020240000544,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,"명세서 전체에서, 어떤 부분이 어떤 구성요소를 ""포함"" 한다고 할 때, 이는 특별히 반대되는 기재가 없는 한 다른 구성요소를 제외하는 것이 아니라 다른 구성요소를 더 포함할 수 있음을 의미한다.",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,T_include
1020230194383,1,1,"이하, 첨부된 도면을 참조하여 본 발명의 바람직한 실시예를 상세히 설명하기로 한다.",1,아래 첨부된 도면을 참조하여 본 발명의 실시를 위한 구체적인 내용을 상세히 설명한다.,0,,0,,0,,0,,0,,0,,1,"그러나 본 발명은 이하에서 개시되는 실시예들에 한정되는 것이 아니라 서로 다른 다양한 형태로 구현될 것이며, 단지 본 실시예들은 본 발명의 개시가 완전하도록 하며, 본 발명이 속하는 기술분야에서 통상의 지식을 가진 자에게 발명의 범주를 완전하게 알려주기 위해 제공되는 것이며, 본 발명은 청구항의 범주에 의해 정의될 뿐이다.",0,,0,,0,,0,,1,"비록 제1, 제2 등이 다양한 구성요소들을 서술하기 위해서 사용되나, 이들 구성요소들은 이들 용어에 의해 제한되지 않음은 물론이다.",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,그러므로 이상에서 기술한 실시예들은 모든 면에서 예시적인 것이며 한정적이 아닌 것으로 이해해야만 한다.,0,,0,,0,,0,,0,,0,,0,,0,,5,S1|S1_b|S7|T4|E3
1020240009619,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,"따라서, 본 발명은 여기에 나타난 실시형태들에 제한되려는 것이 아니라, 여기서 개시된 원리들 및 신규한 특징들과 일치하는 최광의 범위를 부여하려는 것이다.",1,"본 발명의 범위는 첨부된 청구항의 합리적 해석에 의해 결정되어야 하고, 본 발명의 등가적 범위 내에서의 모든 변경은 본 발명의 범위에 포함된다.",2,E9|E10
1020240009621,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,"따라서, 본 발명은 여기에 나타난 실시형태들에 제한되려는 것이 아니라, 여기서 개시된 원리들 및 신규한 특징들과 일치하는 최광의 범위를 부여하려는 것이다.",1,"본 발명의 범위는 첨부된 청구항의 합리적 해석에 의해 결정되어야 하고, 본 발명의 등가적 범위 내에서의 모든 변경은 본 발명의 범위에 포함된다.",2,E9|E10
1020240008907,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
1020240000918,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,"따라서, 본 발명은 여기에 나타난 실시형태들에 제한되려는 것이 아니라, 여기서 개시된 원리들 및 신규한 특징들과 일치하는 최광의 범위를 부여하려는 것이다.",1,"본 발명의 범위는 첨부된 청구항의 합리적 해석에 의해 결정되어야 하고, 본 발명의 등가적 범위 내에서의 모든 변경은 본 발명의 범위에 포함된다.",2,E9|E10
1020240000929,1,0,,0,,0,,0,,0,,0,,0,,0,,1,"그러나 본 발명은 이하에서 개시되는 실시예들에 한정되는 것이 아니라 서로 다른 다양한 형태로 구현될 것이며, 단지 본 실시예들은 본 발명의 개시가 완전하도록 하며, 본 발명이 속하는 기술분야에서 통상의 지식을 가진 자에게 발명의 범주를 완전하게 알려주기 위해 제공되는 것이며, 본 발명은 청구항의 범주에 의해 정의될 뿐이다.",0,,0,,1,명세서 전체에 걸쳐 동일 참조 부호는 동일 구성 요소를 지칭한다.,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,"이상 본 발명을 바람직한 실시예를 들어 상세하게 설명하였으나, 본 발명은 상기 실시예에 한정되지 않고, 본 발명의 기술적 사상의 범위 내에서 당 분야에서 통상의 지식을 가진 자에 의하여 여러 가지 변형이 가능하다.",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3,S7|T2|B4
1020230196075,1,0,,1,이하에서는 본 발명에 따른 플러스DR 최대 입찰 가능량 산정 시스템의 바람직한 실시예들을 첨부된 도면을 참조하여 상세히 설명한다.,0,,0,,0,,0,,0,,0,,0,,1,하기에서 본 발명을 설명함에 있어서 공지 기능 또는 구성에 대한 구체적인 설명이 본 발명의 요지를 불필요하게 흐릴 수 있다고 판단되는 경우에는 그 상세한 설명을 생략하도록 한다.,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,"명세서 전체에서, 어떤 부분이 어떤 구성요소를 ""포함""한다고 할 때 이는 특별히 반대되는 기재가 없는 한 다른 구성요소를 제외하는 것이 아니라 다른 구성요소를 더 포함할 수 있는 것을 의미하고, 또한 명세서에 기재된 "".",1,"명세서 전체에서, 어떤 부분이 어떤 구성요소를 ""포함""한다고 할 때 이는 특별히 반대되는 기재가 없는 한 다른 구성요소를 제외하는 것이 아니라 다른 구성요소를 더 포함할 수 있는 것을 의미하고, 또한 명세서에 기재된 ""...부"", ""...모듈"" 등의 용어는 적어도 하나의 기능이나 동작을 처리하는 단위를 의미하며 이는 하드웨어나 소프트웨어 또는 하드웨어 및 소프트웨어의 결합으로 구현될 수 있다.",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,"이상에서, 출원인은 본 발명의 다양한 실시예들을 설명하였지만, 이와 같은 실시예들은 본 발명의 기술적 사상을 구현하는 일 실시예일 뿐이며, 본 발명의 기술적 사상을 구현하는 한 어떠한 변경예 또는 수정예도 본 발명의 범위에 속하는 것으로 해석되어야 한다.",0,,0,,0,,5,S1_b|S_omit|T_include|T_module|E8
1020240002958,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
1020240002963,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
1020240007195,1,0,,0,,0,,0,,0,,0,,1,"이는 본 발명을 특정한 실시 형태에 대해 한정하려는 것이 아니며, 본 발명의 사상 및 기술 범위에 포함되는 모든 변환, 균등물 내지 대체물을 포함하는 것으로 이해되어야 한다.",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,S5
1020230184860,1,0,,1,이하에서는 본 발명에 따른 수산물 건조장치의 바람직한 실시예들을 첨부된 도면을 참조하여 상세히 설명한다.,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,"명세서 전체에서, 어떤 부분이 어떤 구성요소를 ""포함""한다고 할 때 이는 특별히 반대되는 기재가 없는 한 다른 구성요소를 제외하는 것이 아니라 다른 구성요소를 더 포함할 수 있는 것을 의미하며, 또한 명세서에 기재된 "".",1,"명세서 전체에서, 어떤 부분이 어떤 구성요소를 ""포함""한다고 할 때 이는 특별히 반대되는 기재가 없는 한 다른 구성요소를 제외하는 것이 아니라 다른 구성요소를 더 포함할 수 있는 것을 의미하며, 또한 명세서에 기재된 ""...부"", ""...모듈"" 등의 용어는 적어도 하나의 기능이나 동작을 처리하는 단위를 의미하며 이는 하드웨어나 소프트웨어 또는 하드웨어 및 소프트웨어의 결합으로 구현될 수 있다.",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,"이상에서, 출원인은 본 발명의 다양한 실시예들을 설명하였지만, 이와 같은 실시예들은 본 발명의 기술적 사상을 구현하는 일 실시예일 뿐이며, 본 발명의 기술적 사상을 구현하는 한 어떠한 변경예 또는 수정예도 본 발명의 범위에 속하는 것으로 해석되어야 한다.",0,,0,,0,,4,S1_b|T_include|T_module|E8
1020240015978,1,0,,0,,1,"물론 본 발명의 권리범위는 하기의 실시예에 한정되는 것은 아니며, 본 발명의 기술적 요지를 벗어나지 않는 범위 내에서 당해 기술분야의 통상적인 지식을 가진자에 의하여 다양하게 변형 실시될 수 있다.",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,S1_c
1020230137733,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,"명세서 전체에서, 어떤 부분이 어떤 구성요소를 ""포함""한다고 할 때 이는 특별히 반대되는 기재가 없는 한 다른 구성요소를 제외하는 것이 아니라 다른 구성요소를 더 포함할 수 있는 것을 의미한다.",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,"이상에서, 출원인은 본 발명의 바람직한 실시예들을 설명하였지만, 이와 같은 실시예들은 본 발명의 기술적 사상을 구현하는 일 실시예일 뿐이며 본 발명의 기술적 사상을 구현하는 한 어떠한 변경예 또는 수정예도 본 발명의 범위에 속하는 것으로 해석되어야 한다.",0,,0,,0,,2,T_include|E8
1020230138019,1,0,,1,이하에서는 본 발명에 따른 격자형 찜질팩의 실시예들을 첨부된 도면을 참조하여 상세히 설명한다.,0,,0,,0,,0,,0,,0,,0,,1,하기에서 본 발명을 설명함에 있어서 공지 기능 또는 구성에 대한 구체적인 설명이 본 발명의 요지를 불필요하게 흐릴 수 있다고 판단되는 경우에는 그 상세한 설명을 생략하도록 한다.,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,"명세서 전체에서, 어떤 부분이 구성요소를 “포함”한다고 할 때 이는 특별히 반대되는 기재가 없는 한 다른 구성요소를 제외하는 것이 아니라 다른 구성요소를 더 포함할 수 있는 것을 의미한다.",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3,S1_b|S_omit|T_include
1020230152648,1,0,,0,,1,"물론 본 발명의 권리범위는 하기의 실시예에 한정되는 것은 아니며, 본 발명의 기술적 요지를 벗어나지 않는 범위 내에서 당해 기술분야의 통상적인 지식을 가진자에 의하여 다양하게 변형 실시될 수 있다.",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,S1_c
1020230157958,1,0,,0,,1,"물론 본 발명의 권리범위는 하기의 실시예에 한정되는 것은 아니며, 본 발명의 기술적 요지를 벗어나지 않는 범위 내에서 당해 기술분야의 통상적인 지식을 가진자에 의하여 다양하게 변형 실시될 수 있다.",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,S1_c
1020230160371,1,0,,0,,0,,0,,0,,0,,0,,0,,1,"그러나 본 발명은 이하에서 개시되는 실시예들에 한정되는 것이 아니라 서로 다른 다양한 형태로 구현될 것이며, 단지 본 실시예들은 본 발명의 개시가 완전하도록 하며, 본 발명이 속하는 기술분야에서 통상의 지식을 가진 자에게 발명의 범주를 완전하게 알려주기 위해 제공되는 것이며, 본 발명은 청구항의 범주에 의해 정의될 뿐이다.",0,,0,,1,명세서 전체에 걸쳐 동일 참조 부호는 동일 구성 요소를 지칭한다.,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,"이상 본 발명을 바람직한 실시예를 들어 상세하게 설명하였으나, 본 발명은 상기 실시예에 한정되지 않고, 본 발명의 기술적 사상의 범위 내에서 당 분야에서 통상의 지식을 가진 자에 의하여 여러 가지 변형이 가능하다.",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3,S7|T2|B4
1020230160402,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
1020230156815,1,1,"이하, 첨부된 도면 도 1에 도시된 실시 예를 참조하여 본 발명 터치스크린 단말 장치의 터치 입력을 기반으로 특정 기능을 실행하는 사용자 인터페이스 장치를 구체적으로 설명하기로 한다.",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,"이러한 서수는 동일 또는 유사한 구성 요소들을 서로 구별하기 위하여 사용하는 것이며, 이러한 서수 사용으로 인하여 용어의 의미가 한정 해석되어서는 안될 것이다.",0,,1,"본 명세서에서 단수의 표현은 문맥상 명백하게 다름을 뜻하지 않는 한, 복수의 표현을 포함한다.",1,"본 출원에서, '포함하다' 또는 '구성하다' 등의 용어는 명세서상에 기재된 특징, 숫자, 단계, 동작, 구성요소, 부품 또는 이들을 조합한 것이 존재함을 지정하려는 것이지, 하나 또는 그 이상의 다른 특징들이나 숫자, 단계, 동작, 구성 요소, 부품 또는 이들을 조합한 것들의 존재 또는 부가 가능성을 미리 배제하지 않는 것으로 이해되어야 한다.",0,,0,,0,,0,,0,,1,"또한, 일부 용어는 출원인이 임의로 선정한 용어일 수 있다.",1,"본 발명의 상세한 설명 및 청구범위에서 사용하는 용어나 단어는, 통상적이거나 사전적인 의미로 한정하여 해석될 것이 아니라, '발명자는 그 자신의 발명을 가장 최선의 방법으로 설명하기 위해 용어의 개념을 적절하게 정의할 수 있다.",0,,0,,1,"이상에서는 본 발명의 바람직한 실시 예에 대하여 터치 유지에 따른 특정 기능의 실행을 수행하는 제어 장치 및 방법을 제시하고 설명하였지만, 본 발명은 상술한 특정의 실시 예에 한정되지 아니하며, 청구범위에서 청구하는 본 발명의 요지를 벗어남이 없이 당해 발명이 속하는 기술 분야에서 통상의 지식을 가진 자에 의해 다양한 변형실시가 가능한 것은 물론이고, 이러한 변형실시들은 본 발명의 기술적 사상이나 전망으로부터 개별적으로 이해되어져서는 안될 것이다.",0,,0,,0,,0,,0,,0,,1,"또한, 본 명세서에 기재된 실시 예와 도면에 도시한 구성은, 본 발명의 바람직한 실시 예에 불과한 것일 뿐이고, 본 발명의 기술적 사상을 모두 대변하는 것은 아니므로, 본 출원 시점에 있어 이들을 대체할 수 있는 다양한 균등물과 변형 예들이 있을 수 있음을 이해해야 한다.",0,,0,,8,S1|T_ordinal|T6|T7|T_term_sel|T_inventor|E2|E_equiv
